threshold,addressSize,train_accuracy_mean,validation_accuracy_mean,test_accuracy_mean,train_accuracy_std,validation_accuracy_std,test_accuracy_std
140,28,0.9987166666666667,0.9005166666666666,0.67455,0.0009166666666666767,0.09788333333333332,0.01765
90,23,0.9988666666666667,0.9283666666666667,0.73185,0.0008333333333333526,0.0698333333333333,0.01705000000000001
165,23,0.9919166666666666,0.9092333333333333,0.69375,0.002516666666666667,0.0797,0.013349999999999973
15,23,0.9996833333333333,0.9389833333333333,0.7577499999999999,0.00021666666666669832,0.06048333333333333,0.014550000000000007
140,23,0.9954333333333334,0.9155666666666666,0.7114,0.002233333333333365,0.07766666666666666,0.01679999999999998
40,23,0.9995666666666667,0.9378166666666666,0.7536499999999999,0.0003666666666666818,0.061549999999999994,0.01745000000000002
115,23,0.9978166666666667,0.9256833333333334,0.7242999999999999,0.0011499999999999844,0.07128333333333331,0.014099999999999946
65,23,0.9993166666666666,0.9345833333333333,0.7392,0.0004166666666666763,0.06441666666666668,0.013299999999999979
140,13,0.9347,0.8630833333333334,0.6712,0.01426666666666665,0.06214999999999998,0.0007000000000000339
140,18,0.9834333333333334,0.91185,0.7212,0.005766666666666641,0.06688333333333335,0.008000000000000007
65,18,0.9944999999999999,0.9359,0.7645500000000001,0.0024000000000000132,0.05609999999999998,0.005749999999999977
165,18,0.9729333333333333,0.8964000000000001,0.6983999999999999,0.005900000000000016,0.06819999999999998,0.007599999999999996
90,13,0.9477333333333333,0.8807666666666667,0.69175,0.012800000000000034,0.055800000000000016,0.0022499999999999742
115,18,0.98605,0.9183,0.7239,0.004149999999999987,0.061833333333333296,0.008700000000000041
115,13,0.9426333333333333,0.8738166666666667,0.68205,0.011700000000000044,0.05578333333333335,0.000250000000000028
90,18,0.9892666666666667,0.9275,0.74685,0.0038666666666666294,0.05833333333333335,0.00924999999999998
65,13,0.9576333333333333,0.8930833333333333,0.7008,0.00886666666666669,0.05438333333333334,0.0020000000000000018
40,18,0.9943333333333333,0.9386,0.76555,0.0021666666666667056,0.05243333333333333,0.00874999999999998
15,18,0.9964166666666667,0.9408833333333333,0.7702,0.0018499999999999628,0.05265000000000003,0.009700000000000042
40,13,0.9664333333333333,0.9055666666666666,0.7279500000000001,0.008500000000000008,0.05016666666666664,0.0005499999999999949
15,13,0.9706333333333333,0.9129166666666666,0.74085,0.007900000000000018,0.049816666666666676,0.0011499999999999844
165,13,0.9215166666666667,0.8426333333333333,0.6374500000000001,0.014183333333333326,0.0641666666666667,0.0008499999999999619
15,8,0.8534999999999999,0.7950833333333334,0.6221,0.019866666666666644,0.03708333333333336,0.0009000000000000119
40,8,0.8507166666666667,0.7948833333333334,0.6199,0.015383333333333304,0.0370833333333333,0.0012999999999999678
65,8,0.8372833333333334,0.7813833333333333,0.61095,0.01974999999999999,0.03895000000000004,0.003149999999999986
90,8,0.8331833333333334,0.77635,0.6022000000000001,0.020216666666666716,0.039583333333333304,0.00020000000000003348
115,8,0.8273666666666667,0.7699166666666666,0.5920000000000001,0.01993333333333336,0.04071666666666668,0.0015999999999999903
140,8,0.8026500000000001,0.7452333333333333,0.56755,0.016849999999999976,0.03636666666666666,0.0017500000000000293
165,8,0.7785,0.7218500000000001,0.54105,0.02536666666666665,0.038816666666666666,0.0020499999999999963
165,3,0.5866333333333333,0.5761000000000001,0.44279999999999997,0.0076666666666667105,0.004733333333333312,0.001899999999999985
140,3,0.5947166666666667,0.5854666666666666,0.45205,0.004183333333333317,0.003333333333333355,0.0009500000000000064
115,3,0.5928666666666667,0.5831500000000001,0.44725,0.002666666666666706,0.0011166666666667102,0.0019500000000000073
40,3,0.61925,0.6103833333333333,0.46675,0.006950000000000012,0.005083333333333384,0.0013500000000000179
90,3,0.5898833333333333,0.5801333333333334,0.4421,0.0044500000000000095,0.007733333333333314,0.0031999999999999806
65,3,0.5983833333333334,0.5897333333333333,0.45825000000000005,0.00714999999999999,0.0020000000000000018,0.0017500000000000016
15,3,0.6031500000000001,0.5959,0.46835000000000004,0.0045499999999999985,0.00326666666666664,0.002349999999999991
